left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.760864 222.282608 0.047051 
219.021744 212.500000 0.023205 
210.869568 205.978256 0.014383 
177.717392 214.673904 0.013141 
172.282608 222.826080 0.007573 
220.652176 193.478256 0.009039 
222.826080 222.282608 0.009212 
227.173904 225.543472 0.006826 
223.913040 229.891296 0.003042 
221.195648 217.391296 0.008485 
220.652176 223.369568 0.011473 
222.282608 224.456512 0.006151 
223.369568 243.478256 0.001987 
223.913040 193.478256 0.009019 
220.108688 223.913040 0.012432 
215.217392 235.869568 0.008257 
214.673904 241.847824 0.005399 
215.217392 195.652176 0.012231 
215.217392 217.391296 0.009012 
215.217392 236.413040 0.007526 
211.956512 240.760864 0.005839 


