left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
216.304352 220.652176 0.037103 
219.021744 210.326080 0.022196 
209.782608 206.521744 0.011658 
177.717392 227.173904 0.009050 
173.369568 226.630432 0.007585 
223.913040 192.934784 0.008446 
223.913040 221.739136 0.008835 
227.717392 222.282608 0.006731 
162.500000 110.326088 0.005691 
225.543472 193.478256 0.008210 
221.195648 223.369568 0.010749 
223.369568 225.543472 0.006093 
162.500000 110.326088 0.004363 
225.543472 193.478256 0.008339 
220.652176 223.913040 0.011954 
221.195648 229.891296 0.008277 
162.500000 107.608696 0.006428 
219.021744 194.021744 0.010797 
236.413040 189.673904 0.009321 
154.347824 110.326088 0.007600 
211.413040 238.586960 0.005762 


