left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.826080 0.050039 
218.478256 215.760864 0.023349 
210.869568 209.782608 0.010318 
174.456528 221.739136 0.010536 
171.739136 226.630432 0.008496 
230.978256 215.217392 0.007915 
227.173904 215.217392 0.008741 
227.173904 214.673904 0.006699 
223.913040 211.956512 0.003363 
230.434784 214.673904 0.008262 
220.108688 224.456512 0.010702 
223.913040 222.826080 0.005877 
224.456512 215.217392 0.001843 
224.456512 195.108688 0.008775 
219.565216 225.543472 0.011723 
215.760864 235.869568 0.007615 
211.413040 241.304352 0.004838 
216.847824 195.652176 0.010776 
237.500000 192.391296 0.008994 
216.304352 236.956512 0.006957 
210.869568 241.304352 0.005639 


