left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.760864 222.826080 0.049140 
216.847824 217.934784 0.022445 
180.978256 231.521744 0.010247 
175.543472 227.173904 0.014334 
172.282608 227.173904 0.010011 
220.652176 213.586960 0.007726 
221.739136 222.282608 0.008317 
228.260864 207.608688 0.006587 
223.913040 211.413040 0.003274 
230.434784 215.217392 0.008028 
220.108688 225.000000 0.010370 
221.739136 225.000000 0.005646 
224.456512 213.043472 0.001565 
220.652176 216.847824 0.007759 
219.021744 226.086960 0.011650 
212.500000 236.956512 0.007798 
210.326080 241.304352 0.005125 
218.478256 214.673904 0.009502 
206.521744 234.782608 0.008775 
212.500000 238.586960 0.007134 
209.782608 241.304352 0.006013 


