left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 221.739136 0.053109 
218.478256 215.760864 0.024105 
180.434784 230.978256 0.010890 
174.456528 219.565216 0.017218 
170.108688 224.456512 0.009401 
236.413040 172.282608 0.009253 
227.173904 213.043472 0.008654 
224.456512 213.043472 0.006905 
136.956528 105.978264 0.004120 
228.260864 191.304352 0.008644 
220.108688 224.456512 0.010160 
223.369568 222.282608 0.005864 
136.956528 105.978264 0.002667 
225.000000 195.108688 0.009296 
219.021744 226.086960 0.011437 
209.782608 239.130432 0.008000 
136.956528 105.978264 0.006558 
220.108688 171.739136 0.013570 
237.500000 189.673904 0.009662 
209.782608 240.760864 0.007087 
204.347824 244.021744 0.006071 


