left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
163.043472 158.695648 0.570169 
165.217392 137.500000 0.588163 
163.586960 114.130432 0.532846 
151.086960 100.000000 0.267337 
148.913040 101.086960 0.064699 
162.500000 100.000000 0.034931 
158.695648 110.326088 0.020084 
154.347824 101.086960 0.022406 
150.543472 114.130432 0.011485 
140.217392 124.456520 0.066085 
141.304352 100.543480 0.042108 
145.652176 109.782608 0.071950 
146.195648 112.500000 0.043553 
134.782608 132.608688 0.145798 
128.260864 100.000000 0.078450 
144.565216 110.869568 0.179850 
146.195648 118.478264 0.075856 
133.152176 136.413040 0.501657 
127.173912 119.565216 0.671774 
139.130432 123.913040 0.630054 
148.369568 132.065216 0.650175 


