left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
187.500000 180.434784 0.046636 
201.086960 227.717392 0.022830 
197.282608 208.152176 0.013974 
210.869568 212.500000 0.009258 
166.304352 225.000000 0.006314 
226.086960 213.043472 0.012997 
220.652176 217.391296 0.009582 
220.108688 210.869568 0.007612 
217.934784 211.413040 0.004617 
220.108688 211.413040 0.009313 
220.108688 222.282608 0.009701 
219.565216 225.543472 0.006072 
216.847824 210.869568 0.002700 
219.021744 210.326080 0.009727 
218.478256 226.086960 0.011108 
214.130432 235.869568 0.008329 
207.608688 241.847824 0.005861 
211.956512 213.586960 0.014949 
215.760864 217.391296 0.008636 
212.500000 239.673904 0.007290 
208.152176 242.391296 0.005964 


