left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
195.652176 173.369568 0.076138 
201.086960 220.108688 0.022459 
176.086960 215.217392 0.013330 
174.456528 216.847824 0.021092 
171.739136 226.630432 0.008392 
230.978256 215.760864 0.007817 
226.630432 213.586960 0.008626 
226.086960 207.608688 0.006896 
223.913040 209.782608 0.003808 
232.065216 214.673904 0.008272 
219.565216 224.456512 0.011170 
222.826080 223.913040 0.005919 
170.108688 240.760864 0.002123 
219.021744 163.043472 0.011316 
219.565216 225.000000 0.012293 
211.413040 236.413040 0.008247 
208.695648 241.847824 0.005619 
217.934784 164.130432 0.016940 
205.978256 234.782608 0.009003 
211.956512 236.956512 0.007440 
207.608688 240.760864 0.006279 


