left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 223.369568 0.066721 
219.565216 215.760864 0.027117 
181.521744 229.891296 0.010680 
175.000000 221.195648 0.017544 
170.652176 224.456512 0.010396 
224.456512 173.913040 0.012002 
228.260864 210.326080 0.009328 
224.456512 214.130432 0.007290 
223.369568 215.217392 0.004830 
227.717392 190.217392 0.009451 
220.108688 225.000000 0.010145 
223.913040 220.652176 0.006003 
223.913040 215.217392 0.002936 
226.086960 191.304352 0.010535 
219.021744 226.086960 0.011464 
211.956512 238.043472 0.007550 
214.673904 245.652176 0.005157 
219.021744 171.195648 0.016961 
238.043472 188.586960 0.009864 
240.217392 191.847824 0.007080 
209.239136 244.565216 0.005785 


