left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.826080 0.066526 
219.021744 216.847824 0.025930 
175.000000 222.282608 0.014983 
173.913040 217.391296 0.024820 
170.108688 223.913040 0.011602 
224.456512 185.869568 0.010164 
232.608688 195.108688 0.009299 
223.913040 213.586960 0.007299 
223.369568 214.673904 0.004890 
228.260864 191.847824 0.009695 
220.108688 224.456512 0.009989 
223.913040 221.195648 0.005929 
223.913040 214.673904 0.002869 
225.543472 194.565216 0.011158 
219.021744 226.086960 0.011372 
210.869568 239.130432 0.007695 
213.586960 245.652176 0.005334 
217.391296 168.478256 0.018069 
238.043472 189.130432 0.010073 
240.217392 192.391296 0.007209 
203.804352 244.565216 0.006051 


