left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
214.673904 222.826080 0.055910 
219.021744 216.304352 0.023563 
177.717392 226.630432 0.010198 
175.000000 217.391296 0.014692 
171.195648 226.086960 0.009881 
230.978256 214.673904 0.007721 
227.173904 214.130432 0.008443 
225.000000 211.956512 0.006665 
223.913040 212.500000 0.003731 
230.434784 214.673904 0.008155 
220.108688 223.913040 0.010125 
223.913040 222.282608 0.005723 
223.913040 215.760864 0.002087 
225.000000 196.195648 0.008862 
219.565216 225.000000 0.011280 
210.869568 237.500000 0.007471 
210.326080 244.565216 0.004993 
221.739136 192.391296 0.009712 
237.500000 191.847824 0.009497 
234.239120 213.586960 0.006940 
205.434784 244.021744 0.005811 


