left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
109.239128 171.195648 0.049681 
127.173912 165.760864 0.112769 
148.913040 158.695648 0.647199 
158.695648 137.500000 0.732255 
166.304352 118.478264 0.792753 
139.130432 154.347824 0.021533 
148.369568 150.000000 0.014898 
140.217392 148.369568 0.021490 
123.369568 152.173920 0.012406 
139.130432 154.891296 0.008360 
221.195648 223.369568 0.009714 
140.217392 148.369568 0.008838 
123.913040 151.086960 0.008526 
231.521744 214.130432 0.007812 
220.652176 224.456512 0.010738 
221.195648 229.891296 0.007337 
114.673912 154.891296 0.004402 
219.565216 214.673904 0.009055 
236.956512 191.304352 0.007864 
220.652176 225.000000 0.006725 
216.847824 237.500000 0.004977 


