left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
215.217392 222.282608 0.061727 
219.021744 216.304352 0.024632 
179.891296 230.434784 0.012191 
175.000000 217.391296 0.019446 
167.934784 223.369568 0.009765 
225.000000 176.086960 0.008505 
227.717392 208.152176 0.008737 
224.456512 212.500000 0.007005 
223.369568 214.673904 0.004471 
224.456512 214.673904 0.008375 
219.565216 225.000000 0.009783 
223.913040 220.652176 0.005762 
223.369568 215.760864 0.002534 
225.000000 196.739136 0.009004 
219.021744 226.086960 0.011238 
209.239136 240.217392 0.007979 
209.782608 245.652176 0.005715 
220.108688 170.652176 0.014128 
238.043472 190.760864 0.009815 
202.173904 245.108688 0.007777 
202.173904 245.108688 0.006518 


