left: Array<T>::toString():
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 
0.000000 0.000000 0.000000 

, right: Array<T>::toString():
192.934784 176.086960 0.099397 
216.847824 216.304352 0.023825 
207.065216 210.326080 0.012274 
174.456528 220.108688 0.017606 
170.108688 225.000000 0.009799 
222.826080 205.978256 0.009725 
227.717392 206.521744 0.009244 
224.456512 207.065216 0.007379 
223.913040 208.152176 0.004622 
229.891296 192.391296 0.009360 
220.108688 223.913040 0.011179 
222.826080 222.282608 0.006191 
223.369568 213.586960 0.002671 
219.021744 163.586960 0.013436 
219.565216 225.000000 0.012303 
210.869568 238.586960 0.008150 
213.043472 244.565216 0.005682 
217.391296 167.391296 0.021749 
237.500000 190.217392 0.009509 
211.413040 240.217392 0.007256 
206.521744 243.478256 0.006157 


